Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-21284.19	-21273.74	-10.45544	0.000209491	0.100911	0.0195133	0.0629652	0.0725967	0.137323	0.0253295	0.268121	0.00361954	0.107877	0.514053	0.0119526	0.0805294	0.0197739	0.00182574	0.0161019	0.113133	0.0611932	0.000981751	0.0581784	0.335149	0.0829324	0.236529	0.158498	0.00926951	0.0648255	0.00676986	0.0496852	0.111943	0.119371	0.0331735	0.297607	0.0135086	0.118662	0.0441687	0.566755	0.119947	0.0320301	0.0416123	0.126637	0.716373	0.135377	0.0660817	5.163094
10	-17394.57	-17396.62	2.046445	0.000605299	0.163511	0.0522514	0.119277	0.0772363	0.227109	0.0575257	0.130292	0.0567237	0.138322	0.165607	0.0814968	0.0758723	0.0880567	0.0072032	0.120235	0.153705	0.103618	0.00923246	0.131784	0.141121	0.0840175	0.193253	0.102196	0.00513974	0.0414177	0.0177782	0.0171042	0.108293	0.0407671	0.0327962	0.170184	0.00396708	0.0764972	0.0180633	0.245617	0.0469578	0.0328279	0.0473714	0.0736049	0.219705	0.222856	0.0117085	3.912906
20	-16412.29	-16419.15	6.857082	0.00089598	0.170123	0.122054	0.107912	0.119054	0.117135	0.112943	0.111422	0.111719	0.156099	0.157595	0.110995	0.117841	0.101704	0.0500651	0.159437	0.15383	0.117953	0.0156424	0.113995	0.103707	0.0935823	0.161157	0.0214209	0.0166524	0.0313998	0.0197767	0.0227513	0.0357293	0.0486811	0.0330443	0.057914	0.00880835	0.0549751	0.0214345	0.113652	0.0266435	0.0589223	0.0553789	0.0408516	0.0428275	0.123814	0.0103053	3.431843
30	-16065.55	-16073.67	8.122942	0.00526131	0.103418	0.0971581	0.0949785	0.112721	0.0914917	0.123598	0.0894472	0.0937169	0.194008	0.122392	0.111369	0.10523	0.0920209	0.100751	0.13819	0.149928	0.117058	0.0268846	0.100564	0.0896792	0.0814279	0.174547	0.032752	0.0123656	0.0246268	0.0211682	0.026118	0.0556367	0.0381882	0.0356485	0.0236001	0.026737	0.0376663	0.0822057	0.105662	0.0497261	0.0482931	0.0454999	0.0546725	0.0355869	0.0936298	0.0396342	3.305257
40	-15916.68	-15925.01	8.335158	0.0160662	0.103418	0.0982049	0.0926398	0.104711	0.0921322	0.123598	0.0897375	0.108423	0.211445	0.104391	0.0653696	0.127629	0.127576	0.118003	0.127706	0.141266	0.114868	0.0737058	0.0775161	0.102318	0.08586	0.177937	0.0196742	0.031366	0.0200577	0.0311884	0.0399694	0.0450655	0.0302979	0.0299358	0.0192855	0.035527	0.042687	0.122664	0.0303106	0.0232399	0.0437077	0.0567995	0.0444666	0.0306611	0.0748722	0.0277399	3.284035
50	-15881.61	-15890.44	8.831273	0.0231762	0.135975	0.0982049	0.111666	0.11688	0.0741185	0.137972	0.0823187	0.111463	0.161111	0.0726665	0.100781	0.0974013	0.0940087	0.101292	0.126652	0.116341	0.11397	0.133165	0.0786738	0.0830344	0.0883902	0.157536	0.0229301	0.0328048	0.0205385	0.0207517	0.0257073	0.0445079	0.0313493	0.0510495	0.0222738	0.0311967	0.0495814	0.120486	0.0140942	0.0223625	0.0408439	0.0613339	0.041138	0.0446773	0.0635967	0.0564032	3.234423
60	-15846.4	-15856.06	9.659816	0.0442039	0.0942651	0.105741	0.107568	0.123904	0.0806643	0.142153	0.0715923	0.0814305	0.182095	0.0982358	0.0630694	0.0974013	0.083064	0.122485	0.122778	0.113537	0.116392	0.120344	0.0935634	0.0830344	0.0893003	0.146396	0.0286091	0.0186246	0.0413353	0.0229394	0.0359481	0.0496894	0.0366154	0.034473	0.0213639	0.0377374	0.0360578	0.108543	0.0264012	0.0260149	0.033411	0.0382261	0.047186	0.0307413	0.054055	0.0403798	3.151569
70	-15799.34	-15808.97	9.626463	0.125529	0.106614	0.108766	0.10393	0.116882	0.0673255	0.111086	0.0706415	0.0979773	0.175125	0.0632837	0.0772156	0.0893151	0.101854	0.108244	0.136018	0.128074	0.103655	0.111652	0.075303	0.10148	0.0906252	0.160215	0.0294205	0.0230872	0.0256971	0.0227397	0.024224	0.0631891	0.0313881	0.0330273	0.0265071	0.0205174	0.0455314	0.083484	0.0182988	0.0222969	0.0397209	0.0473529	0.0676673	0.0314766	0.0260251	0.0424416	3.154904
80	-15806.31	-15814.61	8.297252	0.125714	0.0941927	0.108766	0.0959399	0.124927	0.09837	0.121153	0.0759151	0.119846	0.175125	0.084643	0.076081	0.097586	0.090438	0.114765	0.155657	0.116867	0.110534	0.118167	0.0759399	0.102083	0.0824833	0.197824	0.0266465	0.0198629	0.0191144	0.0197763	0.0240293	0.0570773	0.0310624	0.0418574	0.007811	0.033363	0.0543948	0.0809249	0.027635	0.0318519	0.0278409	0.0433317	0.0395446	0.0584873	0.0325622	0.0476346	3.287826
90	-15801.84	-15811.07	9.23109	0.124856	0.0905239	0.0841294	0.0965834	0.114566	0.0876115	0.121002	0.0864133	0.100092	0.152014	0.0881082	0.0731816	0.104821	0.0969757	0.111289	0.123411	0.140097	0.120267	0.130286	0.062927	0.0921568	0.0971079	0.16528	0.0166661	0.0281334	0.0212619	0.0238737	0.03439	0.051095	0.023738	0.0333721	0.00809496	0.0333188	0.0423234	0.0785896	0.0310457	0.0384208	0.0388044	0.0525789	0.0537477	0.0286179	0.041166	0.0515033	3.194442
